pharmacy_id,pharmacy_name,chain_name,address,city,state,zip_code,phone,license_number
PHARM00000,Grimesbury Independent Pharmacy,Independent Pharmacy,379 Patel Rest Suite 082,Monicastad,MD,02819,849.894.8694x7921,PHRM455465
PHARM00001,New Christopher CVS Pharmacy,CVS Pharmacy,80260 Jacqueline Hills Apt. 776,Josephfort,WI,14510,(511)616-5798,PHRM803011
PHARM00002,Graystad Independent Pharmacy,Independent Pharmacy,58926 Carter Tunnel,Port Heatherchester,ID,46133,763-997-1872,PHRM871660
PHARM00003,Lake Christopherview Rite Aid,Rite Aid,4887 Smith Coves,North Joshuastad,VI,51294,6556991400,PHRM777292
PHARM00004,New Suzanneville CVS Pharmacy,CVS Pharmacy,11222 Tyler Centers Suite 961,North Danieltown,IL,80077,8659527550,PHRM273659
PHARM00005,East Stephanie CVS Pharmacy,CVS Pharmacy,3906 Macdonald Bridge Suite 381,Rachelport,TX,50359,001-989-605-7225,PHRM699780
PHARM00006,South Brittany Rite Aid,Rite Aid,712 Patrick Parkway,Shermanton,MA,11591,844.241.4609x687,PHRM688297
PHARM00007,Braunchester CVS Pharmacy,CVS Pharmacy,2857 Diana Forest,South Erika,MH,67081,753-319-0767,PHRM775192
PHARM00008,Melissashire CVS Pharmacy,CVS Pharmacy,4066 Jason Ranch,Lake Chelseyborough,OK,60416,001-532-724-3918,PHRM301774
PHARM00009,New Brenda CVS Pharmacy,CVS Pharmacy,90336 Gross Roads,Lisaton,RI,20589,233.791.3044,PHRM697944
PHARM00010,Lake Lisa Walgreens,Walgreens,129 Williams Radial,Mullinsborough,CT,23057,+1-928-382-5653,PHRM887017
PHARM00011,East Noah Independent Pharmacy,Independent Pharmacy,6638 Fox Lock,Lake Williamfurt,MO,40650,(780)855-0067,PHRM627054
PHARM00012,Wendytown CVS Pharmacy,CVS Pharmacy,9234 Taylor Forge,South Michellemouth,KS,39277,001-746-831-0838x78878,PHRM226126
PHARM00013,Pughmouth Walgreens,Walgreens,5849 John Hills,Adrianshire,KS,36807,2353408248,PHRM119895
PHARM00014,Heatherborough Rite Aid,Rite Aid,924 Hicks Plains,West David,NE,93458,001-590-222-0541x0817,PHRM924974
PHARM00015,Chandlerland Walgreens,Walgreens,80706 Terrence Fall Suite 161,North Josephview,IL,54520,729-819-2669x53468,PHRM357201
PHARM00016,West Tracy Independent Pharmacy,Independent Pharmacy,35151 Leblanc Wall Suite 221,East Charles,AS,95706,9646980037,PHRM188759
PHARM00017,Shannonshire Rite Aid,Rite Aid,154 Sarah Common Apt. 840,East Eugeneburgh,OH,15281,739-653-4503x04521,PHRM521315
PHARM00018,North Traci CVS Pharmacy,CVS Pharmacy,36315 Vanessa Burgs,Colleenview,KS,47275,352.579.3054x50474,PHRM615346
PHARM00019,Carterton CVS Pharmacy,CVS Pharmacy,894 Paige Pine,Grimesmouth,ID,17951,498.453.4426x3490,PHRM456470
PHARM00020,Knighttown Independent Pharmacy,Independent Pharmacy,064 Ashley Harbors Apt. 585,Kellychester,IL,92432,(869)949-1605,PHRM289276
PHARM00021,South Anthonyton Independent Pharmacy,Independent Pharmacy,4161 Todd Club Apt. 567,North Jenniferville,DE,45806,001-862-956-5437x222,PHRM125225
PHARM00022,Jonesshire Rite Aid,Rite Aid,3641 Morales Stravenue Suite 728,East Shelbymouth,AK,83698,308.955.3616x32039,PHRM500567
PHARM00023,Prattville Rite Aid,Rite Aid,061 Johnson Prairie Apt. 915,Charlesmouth,LA,10406,001-733-841-0317x2284,PHRM195446
PHARM00024,South Katherine CVS Pharmacy,CVS Pharmacy,595 Evans Forks Apt. 027,Smithside,SC,15622,952-392-8087,PHRM204158
PHARM00025,Mariahaven Walgreens,Walgreens,643 Kelly Port,Lake Roberto,WV,11721,+1-359-373-9808x532,PHRM399212
PHARM00026,Lake Bradville Walgreens,Walgreens,8336 Stevenson Ferry Apt. 502,Glennhaven,FM,13619,986.338.0732x64646,PHRM291542
PHARM00027,Robinsonfort Rite Aid,Rite Aid,1444 Olson Walk,Powellland,KY,27040,+1-953-451-9149x238,PHRM905625
PHARM00028,Port Michael CVS Pharmacy,CVS Pharmacy,589 Sullivan Pike,South Teresa,NH,85765,909.592.8676x410,PHRM261719
PHARM00029,South Christopherbury Rite Aid,Rite Aid,593 Jeff Union,Port Melissaburgh,NM,53434,921.706.6209x286,PHRM527060
PHARM00030,Thomasbury Walgreens,Walgreens,871 Caldwell Center,Lake Joy,FL,50607,(648)371-3096x5018,PHRM161775
PHARM00031,Lake Williamshire Rite Aid,Rite Aid,944 Harris Vista Apt. 541,East Evan,RI,89251,+1-834-209-9478x45078,PHRM290272
PHARM00032,Kellermouth CVS Pharmacy,CVS Pharmacy,97444 Campbell Plain Suite 727,West Jean,MP,25320,534.889.1494x25503,PHRM847949
PHARM00033,Gonzalesburgh CVS Pharmacy,CVS Pharmacy,631 Robert Green Suite 350,Lake Felicia,CO,28763,+1-595-585-2516,PHRM412501
PHARM00034,Hesterbury Independent Pharmacy,Independent Pharmacy,007 Murray Spurs Apt. 551,Brendaberg,OR,16810,257-500-2963x474,PHRM203540
PHARM00035,Gallowaytown Rite Aid,Rite Aid,8036 Reginald Union,Jennifermouth,AZ,35219,001-865-668-9714,PHRM249380
PHARM00036,Joshuatown Independent Pharmacy,Independent Pharmacy,96749 Lynn Lakes,Spencerfurt,WA,84268,750.465.2822,PHRM439966
PHARM00037,Port Edward Rite Aid,Rite Aid,0050 Jeanette Falls Suite 224,South Kim,OH,70467,968.768.0683,PHRM493754
PHARM00038,South Amandashire CVS Pharmacy,CVS Pharmacy,2696 Anderson Fort,North Matthewshire,AK,17991,977.749.7780x922,PHRM154398
PHARM00039,New Dennis Walgreens,Walgreens,8650 Cheryl Dale Suite 355,New Alexandraview,OH,30897,362-350-2545x73285,PHRM351262
PHARM00040,Rebeccahaven Walgreens,Walgreens,2857 Donna Ridges Apt. 200,Timothyberg,UT,80515,001-626-856-3799x8922,PHRM616926
PHARM00041,Damonchester Independent Pharmacy,Independent Pharmacy,1299 Ashley Estates Apt. 942,New Lindseyland,AZ,82481,621-412-9989x581,PHRM220671
PHARM00042,South Thomas Rite Aid,Rite Aid,059 Greene Harbors,East David,OH,05105,626.262.5994x193,PHRM163577
PHARM00043,Lake Rebeccashire Rite Aid,Rite Aid,7171 Chapman Bridge,New Kimberly,ND,74019,784-803-4185x024,PHRM587402
PHARM00044,West Rebeccaberg Independent Pharmacy,Independent Pharmacy,70750 Heather Village,Leonardstad,SC,27799,8738168155,PHRM168637
PHARM00045,Port Randy Independent Pharmacy,Independent Pharmacy,5792 Anderson Mountain,South Anneview,LA,24974,001-591-971-6805x8585,PHRM130310
PHARM00046,Garyfort Independent Pharmacy,Independent Pharmacy,01924 Justin Port,North Richard,SC,91713,(867)960-6258x88822,PHRM764316
PHARM00047,East Shannon Walgreens,Walgreens,529 Michelle Stravenue,Barbaratown,GA,47459,+1-413-555-7974x6303,PHRM119527
PHARM00048,Antonioside Rite Aid,Rite Aid,9007 David Manors,East Jessica,NH,80065,811.819.5181x3025,PHRM680990
PHARM00049,Jacksonbury CVS Pharmacy,CVS Pharmacy,692 Goodman Tunnel,Davisland,AS,83471,4724194573,PHRM358281
